"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,0.23,0,0.2502,0
"2",1,1000,0.23,4.3,0.2503,3.9945
"3",2,1000,0.23,8.58,0.2505,7.9841
"4",4,1000,0.23,17.17,0.2508,15.9487
"5",8,1000,0.23,34.34,0.2514,31.8194
"6",16,1000,0.23,68.47,0.2526,63.3292
"7",32,1000,0.24,132.7,0.2551,125.4382
"8",64,1000,0.24,264.51,0.26,246.1359
"9",128,1000,0.26,495.05,0.2698,474.3645
"10",256,1000,0.28,910.78,0.2894,884.5188
"11",512,1000,0.44,1164.5,0.3284,1558.9286
"12",1024,1000,0.45,2292.06,0.4058,2523.5883
"13",2048,1000,0.6,3435.14,0.5577,3671.9682
"14",4096,1000,0.84,4873.68,0.8508,4814.1153
"15",8192,1000,1.41,5804.91,1.394,5876.7122
"16",16384,1000,2.28,7171.26,2.3262,7043.3246
"17",32768,1000,3.46,9481.39,3.7187,8811.7104
"18",65536,640,5.65,11593.45,5.6489,11601.5563
"19",131072,320,8.63,15187.61,9.423,13909.845
"20",262144,160,14.95,17536.67,17.0613,15364.8182
"21",524288,80,40.65,12896.68,40.6433,12899.7282
"22",1048576,40,81,12944.65,100.6476,10418.2942
"23",2097152,20,154.19,13600.72,190.9118,10984.9239
"24",4194304,10,384.43,10910.44,384.3782,10911.9185
