"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,0.28,0,0.3258,0
"2",1,1000,0.29,3.44,0.326,3.0678
"3",2,1000,0.29,6.85,0.3261,6.1327
"4",4,1000,0.29,13.75,0.3264,12.2533
"5",8,1000,0.29,27.74,0.3271,24.4586
"6",16,1000,0.29,55.05,0.3284,48.7264
"7",32,1000,0.3,107.19,0.3309,96.6986
"8",64,1000,0.3,216.02,0.336,190.4507
"9",128,1000,0.3,425.05,0.3463,369.6507
"10",256,1000,0.32,808.89,0.3667,698.1543
"11",512,1000,0.58,888.74,0.4073,1257.0094
"12",1024,1000,0.63,1620.1,0.4879,2098.968
"13",2048,1000,0.76,2682.46,0.646,3170.2158
"14",4096,1000,0.96,4275.99,0.9506,4308.8033
"15",8192,1000,1.5,5463.74,1.5136,5412.3246
"16",16384,1000,2.41,6804.15,2.4763,6616.3052
"17",32768,1000,3.62,9062.55,3.9088,8383.084
"18",65536,640,5.93,11058.08,5.9288,11053.7865
"19",131072,320,8.85,14816.27,10.0393,13055.8684
"20",262144,160,16.7,15692.95,18.3038,14321.8225
"21",524288,80,40.48,12951.71,40.4788,12952.1561
"22",1048576,40,84.16,12458.78,95.427,10988.2568
"23",2097152,20,174.42,12023.86,193.4542,10840.558
"24",4194304,10,409.55,10241.35,409.5313,10241.7173
