"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,0.22,0,0.2451,0
"2",1,1000,0.23,4.37,0.2453,4.0774
"3",2,1000,0.23,8.75,0.2454,8.1496
"4",4,1000,0.23,17.52,0.2457,16.278
"5",8,1000,0.23,34.54,0.2464,32.4716
"6",16,1000,0.23,69.23,0.2476,64.6087
"7",32,1000,0.25,128.8,0.2502,127.8999
"8",64,1000,0.25,254.81,0.2553,250.691
"9",128,1000,0.26,484.03,0.2655,482.1451
"10",256,1000,0.28,911.6,0.2858,895.7142
"11",512,1000,0.42,1227.69,0.3263,1569.2548
"12",1024,1000,0.44,2311.88,0.4065,2519.3571
"13",2048,1000,0.59,3457,0.5638,3632.2393
"14",4096,1000,0.84,4851.29,0.8667,4726.0248
"15",8192,1000,1.42,5778.25,1.4247,5749.8359
"16",16384,1000,2.35,6984.7,2.3693,6915.0904
"17",32768,1000,3.44,9512.06,3.7413,8758.4855
"18",65536,640,5.64,11622.72,5.6384,11623.1051
"19",131072,320,8.6,15249.61,9.5388,13740.9745
"20",262144,160,15.01,17463.69,17.2795,15170.8176
"21",524288,80,41,12787.98,40.9935,12789.5334
"22",1048576,40,80.83,12972.18,101.5376,10326.9725
"23",2097152,20,154.52,13571.98,191.5091,10950.6675
"24",4194304,10,379.05,11065.26,379.0039,11066.6499
