"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,0.27,0,0.3237,0
"2",1,1000,0.29,3.41,0.3239,3.0875
"3",2,1000,0.29,6.84,0.324,6.1721
"4",4,1000,0.29,13.7,0.3244,12.3323
"5",8,1000,0.29,27.54,0.325,24.6172
"6",16,1000,0.29,54.56,0.3262,49.0458
"7",32,1000,0.3,106.74,0.3287,97.346
"8",64,1000,0.3,212.8,0.3337,191.7776
"9",128,1000,0.3,420.85,0.3437,372.4177
"10",256,1000,0.33,772.88,0.3636,704.0419
"11",512,1000,0.55,928.16,0.4033,1269.617
"12",1024,1000,0.61,1678.92,0.4819,2124.9559
"13",2048,1000,0.76,2707.6,0.6363,3218.4092
"14",4096,1000,0.95,4290.84,0.9341,4385.0931
"15",8192,1000,1.48,5552.16,1.4856,5514.2955
"16",16384,1000,2.36,6948.39,2.4342,6730.7361
"17",32768,1000,3.59,9118.42,3.8669,8473.9564
"18",65536,640,5.95,11019.02,5.949,11016.3622
"19",131072,320,8.86,14793.26,10.1891,12863.9621
"20",262144,160,16.98,15442.07,18.6032,14091.3539
"21",524288,80,40.59,12917.99,40.5897,12916.7832
"22",1048576,40,84.13,12463.48,94.5313,11092.3667
"23",2097152,20,171.84,12204.37,191.2529,10965.3354
"24",4194304,10,409.87,10233.33,409.8433,10233.9223
