"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,0.47,0,0.5164,0
"2",1,1000,0.48,2.09,0.5165,1.9362
"3",2,1000,0.47,4.25,0.5166,3.8713
"4",4,1000,0.47,8.51,0.5169,7.7385
"5",8,1000,0.48,16.69,0.5174,15.4608
"6",16,1000,0.47,34.3,0.5185,30.8571
"7",32,1000,0.51,63.25,0.5207,61.4575
"8",64,1000,0.5,128.59,0.525,121.9013
"9",128,1000,0.51,248.61,0.5337,239.8504
"10",256,1000,0.54,469.77,0.5509,464.6686
"11",512,1000,0.67,759.29,0.5853,874.7365
"12",1024,1000,0.79,1297.08,0.6535,1566.8582
"13",2048,1000,0.9,2273.8,0.7877,2599.9439
"14",4096,1000,1.13,3632.26,1.047,3912.0656
"15",8192,1000,1.48,5540.83,1.5301,5353.7682
"16",16384,1000,2.31,7086.71,2.3723,6906.3545
"17",32768,1000,3.46,9459.95,3.6822,8898.9261
"18",65536,640,5.65,11607.56,5.6491,11601.0386
"19",131072,320,8.71,15047.93,9.5194,13768.9966
"20",262144,160,14.83,17676.06,17.3347,15122.4711
"21",524288,80,42.84,12237.62,42.8313,12240.7578
"22",1048576,40,81.12,12925.93,108.5052,9663.8282
"23",2097152,20,154.81,13546.73,200.8499,10441.3899
"24",4194304,10,392.3,10691.57,392.2527,10692.8619
