"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,0.49,0,0.5129,0
"2",1,1000,0.44,2.28,0.513,1.9493
"3",2,1000,0.47,4.26,0.5132,3.8974
"4",4,1000,0.44,9.03,0.5135,7.7901
"5",8,1000,0.46,17.33,0.5141,15.5619
"6",16,1000,0.49,32.94,0.5153,31.0506
"7",32,1000,0.5,64.18,0.5177,61.8106
"8",64,1000,0.49,130.93,0.5226,122.4758
"9",128,1000,0.48,263.93,0.5322,240.4997
"10",256,1000,0.5,511.1,0.5515,464.1688
"11",512,1000,0.73,701.19,0.5899,867.8809
"12",1024,1000,0.85,1206.49,0.6661,1537.3739
"13",2048,1000,0.96,2129.31,0.8155,2511.4875
"14",4096,1000,1.16,3543.39,1.1027,3714.3648
"15",8192,1000,1.6,5115.52,1.6323,5018.7368
"16",16384,1000,2.45,6682.75,2.5351,6462.7435
"17",32768,1000,3.58,9164.17,3.8828,8439.2051
"18",65536,640,5.91,11082.91,5.9089,11091.1113
"19",131072,320,8.86,14791.62,10.235,12806.2903
"20",262144,160,16.64,15750.95,18.6707,14040.4023
"21",524288,80,41.76,12553.66,41.7578,12555.4392
"22",1048576,40,84.27,12443.67,99.2468,10565.3419
"23",2097152,20,167,12557.76,194.2982,10793.4706
"24",4194304,10,402.46,10421.8,402.4241,10422.597
