"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,1.39,0,1.5669,0
"2",1,1000,1.41,0.71,1.5673,0.638
"3",2,1000,1.36,1.47,1.5677,1.2758
"4",4,1000,1.36,2.95,1.5684,2.5503
"5",8,1000,1.35,5.91,1.57,5.0957
"6",16,1000,1.36,11.74,1.573,10.1717
"7",32,1000,1.42,22.54,1.5791,20.2651
"8",64,1000,1.57,40.75,1.5912,40.2208
"9",128,1000,1.63,78.31,1.6155,79.2329
"10",256,1000,1.87,136.66,1.6639,153.8527
"11",512,1000,1.95,262.21,1.7605,290.8325
"12",1024,1000,2.13,479.74,1.9521,524.5515
"13",2048,1000,2.82,727.38,2.3297,879.0789
"14",4096,1000,3.6,1137.76,3.0619,1337.7249
"15",8192,1000,4.59,1784.77,4.4403,1844.9383
"16",16384,1000,6.36,2574.86,6.8913,2377.5051
"17",32768,1000,10.51,3119.19,10.6173,3086.2856
"18",65536,640,13.44,4876.75,13.4437,4874.848
"19",131072,320,22.8,5749.87,14.8163,8846.4869
"20",262144,160,33.18,7899.81,25.8633,10135.7683
"21",524288,80,57.98,9041.88,57.9635,9045.1345
"22",1048576,40,98.57,10638.17,106.7745,9820.4714
"23",2097152,20,185.49,11305.76,193.9877,10810.7487
"24",4194304,10,353.71,11858.06,353.7211,11857.6594
