"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,8.58,0,8.899,0
"2",1,1000,8.6,0.12,8.9003,0.1124
"3",2,1000,8.54,0.23,8.9017,0.2247
"4",4,1000,8.55,0.47,8.9043,0.4492
"5",8,1000,8.55,0.94,8.9096,0.8979
"6",16,1000,8.53,1.88,8.9202,1.7937
"7",32,1000,8.55,3.74,8.9415,3.5788
"8",64,1000,8.52,7.52,8.9839,7.1238
"9",128,1000,8.67,14.77,9.0688,14.1143
"10",256,1000,8.83,29.01,9.2382,27.711
"11",512,1000,10.98,46.64,9.5758,53.4678
"12",1024,1000,11.25,91.03,10.2464,99.9371
"13",2048,1000,13.65,149.98,11.569,177.0244
"14",4096,1000,14.88,275.33,14.1395,289.6855
"15",8192,1000,17.06,480.05,18.9799,431.614
"16",16384,1000,27.91,586.98,27.6045,593.5255
"17",32768,1000,39.58,827.92,41.8947,782.1515
"18",65536,640,67.66,968.55,67.6419,968.8666
"19",131072,320,123.22,1063.74,118.9449,1101.9554
"20",262144,160,172.46,1520.06,189.2503,1385.1711
"21",524288,80,274.7,1908.58,274.5813,1909.4092
"22",1048576,40,475.73,2204.16,460.6072,2276.5079
"23",2097152,20,877.14,2390.89,849.5266,2468.6125
"24",4194304,10,1595.36,2629.06,1595.3924,2629.0109
