"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,0.43,0,0.5095,0
"2",1,1000,0.43,2.3,0.5097,1.962
"3",2,1000,0.43,4.61,0.5099,3.9224
"4",4,1000,0.44,9.14,0.5103,7.8386
"5",8,1000,0.43,18.6,0.5111,15.6521
"6",16,1000,0.43,36.83,0.5127,31.2046
"7",32,1000,0.47,68.19,0.516,62.0145
"8",64,1000,0.47,135.43,0.5225,122.4807
"9",128,1000,0.58,218.91,0.5356,239.0001
"10",256,1000,0.62,415.63,0.5616,455.8602
"11",512,1000,0.79,646.13,0.6134,834.7027
"12",1024,1000,0.87,1173.23,0.7162,1429.7684
"13",2048,1000,1.02,2011.54,0.9185,2229.7875
"14",4096,1000,1.46,2806.62,1.3097,3127.4656
"15",8192,1000,1.99,4114.06,2.0399,4015.9283
"16",16384,1000,3.21,5102.85,3.3227,4930.8843
"17",32768,1000,5,6547.94,5.3973,6071.2309
"18",65536,640,9.11,7191.15,9.1086,7194.9923
"19",131072,320,17.98,7288.31,17.7355,7390.3831
"20",262144,160,34.36,7629.62,36.0023,7281.3182
"21",524288,80,83.65,6267.8,83.6394,6268.4296
"22",1048576,40,169.6,6182.81,192.8397,5437.5514
"23",2097152,20,337.01,6222.88,369.6378,5673.5325
"24",4194304,10,669.07,6268.89,669.0655,6268.8989
