"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,0.47,0,0.5656,0
"2",1,1000,0.48,2.09,0.5658,1.7673
"3",2,1000,0.48,4.16,0.5661,3.5332
"4",4,1000,0.48,8.34,0.5665,7.0606
"5",8,1000,0.48,16.76,0.5675,14.0979
"6",16,1000,0.48,33.4,0.5693,28.1032
"7",32,1000,0.51,62.5,0.5731,55.8398
"8",64,1000,0.5,128.36,0.5805,110.2425
"9",128,1000,0.6,211.62,0.5955,214.9591
"10",256,1000,0.63,405.77,0.6252,409.444
"11",512,1000,0.98,522.7,0.6845,747.972
"12",1024,1000,1.03,993.35,0.802,1276.8288
"13",2048,1000,1.18,1739.14,1.0325,1983.4795
"14",4096,1000,1.62,2522.04,1.4761,2774.9714
"15",8192,1000,2.19,3748.13,2.2938,3571.3008
"16",16384,1000,3.59,4559.71,3.6898,4440.3276
"17",32768,1000,5.3,6185.35,5.798,5651.6138
"18",65536,640,9.21,7119.42,9.2078,7117.4426
"19",131072,320,15,8737.63,16.8578,7775.1337
"20",262144,160,28.72,9127.83,31.3433,8363.6253
"21",524288,80,66.16,7924.01,66.158,7924.7893
"22",1048576,40,131.26,7988.44,147.4944,7109.2615
"23",2097152,20,256.06,8189.95,280.2502,7483.143
"24",4194304,10,510.13,8222.03,510.1192,8222.2037
