"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,0.43,0,0.5221,0
"2",1,1000,0.43,2.32,0.5224,1.9144
"3",2,1000,0.44,4.57,0.5226,3.8273
"4",4,1000,0.44,9.1,0.523,7.6485
"5",8,1000,0.43,18.57,0.5238,15.2727
"6",16,1000,0.44,36.72,0.5255,30.4486
"7",32,1000,0.47,67.98,0.5288,60.5136
"8",64,1000,0.48,134.66,0.5355,119.5221
"9",128,1000,0.58,219.11,0.5488,233.2489
"10",256,1000,0.63,409.03,0.5753,444.9675
"11",512,1000,0.84,609.6,0.6282,815.0032
"12",1024,1000,0.91,1131.1,0.7332,1396.6767
"13",2048,1000,1.1,1863.98,0.9397,2179.4758
"14",4096,1000,1.51,2721.02,1.3391,3058.7003
"15",8192,1000,1.96,4177.98,2.0847,3929.5684
"16",16384,1000,3.31,4945.86,3.3934,4828.1684
"17",32768,1000,5.1,6430.66,5.5015,5956.1922
"18",65536,640,9.22,7107.76,9.2182,7109.4085
"19",131072,320,17.94,7305.28,17.7995,7363.8116
"20",262144,160,34.41,7617.24,36.0365,7274.4014
"21",524288,80,83.7,6264.25,83.6902,6264.6293
"22",1048576,40,169.53,6185.13,192.8133,5438.2972
"23",2097152,20,336.61,6230.25,369.4349,5676.6487
"24",4194304,10,669.18,6267.87,669.1747,6267.8757
