"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,0.46,0,0.565,0
"2",1,1000,0.49,2.05,0.5652,1.7692
"3",2,1000,0.48,4.12,0.5654,3.5371
"4",4,1000,0.49,8.12,0.5659,7.0687
"5",8,1000,0.49,16.43,0.5667,14.1156
"6",16,1000,0.48,33.1,0.5685,28.1442
"7",32,1000,0.5,63.65,0.572,55.9436
"8",64,1000,0.49,129.7,0.579,110.5336
"9",128,1000,0.59,217.16,0.593,215.8501
"10",256,1000,0.63,404.03,0.6209,412.2821
"11",512,1000,0.96,531.2,0.6766,756.757
"12",1024,1000,1.01,1010.75,0.787,1301.2197
"13",2048,1000,1.15,1786.45,1.0041,2039.6177
"14",4096,1000,1.58,2588.13,1.424,2876.3738
"15",8192,1000,2.12,3870.72,2.2073,3711.2407
"16",16384,1000,3.47,4720.06,3.5787,4578.2025
"17",32768,1000,5.37,6096.8,5.7464,5702.3963
"18",65536,640,9.21,7112.69,9.2086,7116.8401
"19",131072,320,15.05,8708.04,16.3615,8011.0225
"20",262144,160,27.68,9468.86,30.2329,8670.814
"21",524288,80,65.54,7998.94,65.5345,8000.1863
"22",1048576,40,132.05,7940.74,149.5753,7010.3533
"23",2097152,20,257.6,8141.01,283.8754,7387.5787
"24",4194304,10,508.86,8242.56,508.8485,8242.7366
