"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,0.67,0,0.7695,0
"2",1,1000,0.69,1.45,0.7697,1.2992
"3",2,1000,0.69,2.9,0.7699,2.5978
"4",4,1000,0.7,5.69,0.7703,5.193
"5",8,1000,0.68,11.72,0.771,10.3755
"6",16,1000,0.69,23.21,0.7726,20.7093
"7",32,1000,0.67,47.61,0.7757,41.253
"8",64,1000,0.69,93.1,0.7819,81.8515
"9",128,1000,0.7,182.22,0.7943,161.1486
"10",256,1000,0.74,345.6,0.819,312.564
"11",512,1000,1.16,442.14,0.8683,589.6418
"12",1024,1000,1.25,816.22,0.9662,1059.8312
"13",2048,1000,1.37,1494.58,1.159,1767.0942
"14",4096,1000,1.78,2305.52,1.5328,2672.3067
"15",8192,1000,2.24,3657.13,2.2358,3663.9907
"16",16384,1000,3.26,5030.55,3.4983,4683.4173
"17",32768,1000,5.3,6188.3,5.6229,5827.6269
"18",65536,640,9.41,6963.94,9.41,6964.5013
"19",131072,320,18.17,7213.71,17.8064,7360.9689
"20",262144,160,34.65,7565.13,36.0864,7264.3375
"21",524288,80,84.89,6175.81,84.8796,6176.8448
"22",1048576,40,170.52,6149.27,196.2101,5344.1502
"23",2097152,20,337.77,6208.75,373.5415,5614.2407
"24",4194304,10,669.68,6263.14,669.676,6263.1843
