"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,0.65,0,0.7587,0
"2",1,1000,0.68,1.47,0.7589,1.3177
"3",2,1000,0.68,2.94,0.7591,2.6347
"4",4,1000,0.68,5.9,0.7595,5.2663
"5",8,1000,0.68,11.71,0.7604,10.5205
"6",16,1000,0.68,23.45,0.7622,20.9927
"7",32,1000,0.72,44.7,0.7657,41.7938
"8",64,1000,0.7,91.84,0.7726,82.8322
"9",128,1000,0.72,177.6,0.7866,162.7262
"10",256,1000,0.69,368.9,0.8144,314.3286
"11",512,1000,1.17,436.83,0.8699,588.5894
"12",1024,1000,1.26,813.49,0.9798,1045.0796
"13",2048,1000,1.38,1488.68,1.1959,1712.4654
"14",4096,1000,1.83,2237.88,1.613,2539.3373
"15",8192,1000,2.34,3501.36,2.3885,3429.7222
"16",16384,1000,3.56,4601.72,3.7418,4378.6055
"17",32768,1000,5.47,5995.6,5.883,5569.966
"18",65536,640,9.44,6943.17,9.439,6943.1129
"19",131072,320,15.42,8499.48,17.1428,7645.91
"20",262144,160,30.1,8708.95,32.0868,8169.8433
"21",524288,80,66.7,7860.88,66.7005,7860.3336
"22",1048576,40,132.3,7925.56,144.6121,7250.9582
"23",2097152,20,257.8,8134.66,276.6768,7579.7905
"24",4194304,10,511.67,8197.28,511.6591,8197.4581
