#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.25,0.00
1,1000,5.30,0.19
2,1000,5.30,0.38
4,1000,5.31,0.75
8,1000,5.32,1.50
16,1000,5.32,3.01
32,1000,5.30,6.03
64,1000,5.33,12.02
128,1000,5.37,23.85
256,1000,5.40,47.44
512,1000,5.43,94.26
1024,1000,6.06,169.10
2048,1000,5.87,348.89
4096,1000,6.82,600.34
8192,1000,7.18,1140.23
16384,1000,9.52,1720.55
32768,1000,15.15,2162.68
65536,640,29.59,2214.97
131072,320,41.82,3134.10
262144,160,61.28,4277.84
524288,80,96.28,5445.65
1048576,40,161.90,6476.58
2097152,20,307.86,6812.03
4194304,10,657.04,6383.64
8388608,5,1603.05,5232.90
16777216,2,3363.94,4987.37
33554432,1,6793.33,4939.32
67108864,1,12994.48,5164.41
134217728,1,25876.52,5186.85
268435456,1,51328.08,5229.80
