"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,4.95,0,5.072,0
"2",1,1000,5,0.2,5.0722,0.1972
"3",2,1000,4.99,0.4,5.0724,0.3943
"4",4,1000,5.01,0.8,5.0729,0.7885
"5",8,1000,5,1.6,5.0737,1.5767
"6",16,1000,5,3.2,5.0755,3.1524
"7",32,1000,5.01,6.38,5.079,6.3005
"8",64,1000,5.02,12.76,5.0859,12.5838
"9",128,1000,5.05,25.34,5.0999,25.0987
"10",256,1000,5.08,50.37,5.1278,49.9241
"11",512,1000,5.13,99.81,5.1838,98.7687
"12",1024,1000,5.82,175.95,5.2967,193.3291
"13",2048,1000,5.57,367.72,5.5253,370.6601
"14",4096,1000,6.45,635.13,5.9943,683.3145
"15",8192,1000,6.88,1190.35,6.982,1173.2962
"16",16384,1000,8.97,1826.04,9.1822,1784.3134
"17",32768,1000,14.39,2277.61,14.5795,2247.5452
"18",65536,640,29.94,2188.86,29.9405,2188.8754
"19",131072,320,44.21,2964.43,60.1812,2177.9556
"20",262144,160,61.49,4263.26,87.0387,3011.808
"21",524288,80,97.47,5378.83,97.4398,5380.6336
"22",1048576,40,163.84,6399.95,167.0065,6278.6555
"23",2097152,20,320.76,6537.98,318.7626,6579.0399
"24",4194304,10,661.25,6343.03,661.2783,6342.7213
