"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,0.99,0,1.1328,0
"2",1,1000,0.98,1.02,1.1333,0.8824
"3",2,1000,1,2.01,1.1337,1.7641
"4",4,1000,0.99,4.02,1.1346,3.5254
"5",8,1000,0.99,8.12,1.1364,7.0397
"6",16,1000,0.99,16.18,1.14,14.0351
"7",32,1000,1.01,31.64,1.1472,27.8945
"8",64,1000,1.18,54.25,1.1615,55.0996
"9",128,1000,1.23,104.25,1.1902,107.5459
"10",256,1000,1.45,176.7,1.2473,205.2404
"11",512,1000,1.52,336.39,1.3609,376.2261
"12",1024,1000,1.67,612.51,1.5852,645.9579
"13",2048,1000,2.34,874.11,2.0227,1012.5038
"14",4096,1000,3.19,1282.18,2.8528,1435.7836
"15",8192,1000,4.46,1836.11,4.3374,1888.6843
"16",16384,1000,6.27,2614.69,6.6958,2446.9165
"17",32768,1000,8.47,3870.33,9.5885,3417.4257
"18",65536,640,12.4,5284.36,12.3971,5286.3815
"19",131072,320,18.64,7031.7,19.0061,6896.3246
"20",262144,160,32.68,8021.84,32.041,8181.5188
"21",524288,80,54.29,9656.88,54.2953,9656.2276
"22",1048576,40,97.03,10806.54,92.2672,11364.5546
"23",2097152,20,186.01,11274.67,177.2796,11829.6263
"24",4194304,10,352.01,11915.44,352.0197,11914.9708
