"","MAP","NProc","Total.Time","Jacobi.Time","Comm.Time","MLUPs","k","Latency.tusec","Bandwidth","Model.C.Time","Model.MLUPs"
"1","core",1,15.234956988,15.048174042,0.186782946000001,113.423359276,0,0,0,0,113.4234
"2","core",4,3.8313108865,3.7645462905,0.0601380219999998,451.020532027,2,0.2469,20845.5,0.5526,437.8131
"3","core",8,1.9413707275,1.887741176,0.0491135710000001,890.092262493,6,0.2469,20845.5,0.829,860.5601
"4","core",12,1.3053588015,1.264218963,0.0386156019999999,1323.77277871,6,0.2469,20845.5,0.829,1290.8401
"5","socket",4,3.827691032,3.7630816595,0.0592941820000004,451.447017246,2,0.6231,22748.6,0.5064,439.0981
"6","socket",8,1.9366420035,1.885432732,0.0477324880000001,892.265600584,6,0.6231,22748.6,0.7596,864.294
"7","socket",12,1.2938463755,1.257297835,0.0345351440000001,1335.55068651,6,0.6231,22748.6,0.7596,1296.441
"8","node",12,1.296368796,1.258193962,0.0347483630000001,1332.95029731,6,1.1328,11914.97,1.4503,1242.7738
"9","node",24,0.6545812335,0.6306265005,0.0209929449999999,2639.84315519,6,1.1328,11914.97,1.4503,2485.5476
"10","node",36,0.443909883,0.421309905,0.020708579,3892.65586944,6,1.1328,11914.97,1.4503,3728.3214
"11","node",48,0.340400235,0.319191878,0.016228023,5076.3439534,6,1.1328,11914.97,1.4503,4971.0951
