"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,0.23,0,0.248,0
"2",1,1000,0.23,4.29,0.2482,4.0291
"3",2,1000,0.23,8.57,0.2484,8.0531
"4",4,1000,0.23,17.12,0.2487,16.0859
"5",8,1000,0.23,34.25,0.2493,32.0909
"6",16,1000,0.23,68.28,0.2505,63.861
"7",32,1000,0.24,131.88,0.253,126.4579
"8",64,1000,0.24,263.08,0.2581,248.0092
"9",128,1000,0.26,498.62,0.2681,477.511
"10",256,1000,0.28,913.43,0.288,888.8429
"11",512,1000,0.41,1243.12,0.3278,1562.1299
"12",1024,1000,0.45,2269.43,0.4065,2518.7755
"13",2048,1000,0.6,3438.08,0.5613,3648.5395
"14",4096,1000,0.86,4754.44,0.8597,4764.6282
"15",8192,1000,1.44,5691.7,1.412,5801.6819
"16",16384,1000,2.3,7116.43,2.358,6948.2761
"17",32768,1000,3.5,9365.76,3.761,8712.6301
"18",65536,640,5.65,11595.75,5.649,11601.3548
"19",131072,320,8.65,15157.41,9.3198,14063.7743
"20",262144,160,15.03,17444.78,17.1005,15329.5665
"21",524288,80,42.31,12391.55,42.3027,12393.7298
"22",1048576,40,82.12,12769.34,105.8892,9902.5786
"23",2097152,20,155.37,13497.57,196.7079,10661.252
"24",4194304,10,379.91,11040.16,379.8626,11041.6359
