"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,5.06,0,5.2711,0
"2",1,1000,5.12,0.2,5.2717,0.1897
"3",2,1000,5.13,0.39,5.2722,0.3793
"4",4,1000,5.08,0.79,5.2733,0.7585
"5",8,1000,5.09,1.57,5.2755,1.5165
"6",16,1000,5.17,3.09,5.2798,3.0304
"7",32,1000,5.11,6.26,5.2885,6.0508
"8",64,1000,5.14,12.45,5.3059,12.0619
"9",128,1000,5.16,24.8,5.3408,23.9667
"10",256,1000,5.21,49.15,5.4104,47.3163
"11",512,1000,6.52,78.55,5.5496,92.2582
"12",1024,1000,6.71,152.51,5.828,175.7026
"13",2048,1000,6.99,293.15,6.3847,320.7688
"14",4096,1000,7.48,547.4,7.4969,546.3556
"15",8192,1000,8.35,980.6,9.7117,843.5203
"16",16384,1000,14.83,1104.56,14.0804,1163.606
"17",32768,1000,22.52,1454.89,22.622,1448.5029
"18",65536,640,39.39,1663.87,39.3817,1664.1225
"19",131072,320,73.04,1794.5,64.9395,2018.3702
"20",262144,160,53.47,4902.2,80.6005,3252.3869
"21",524288,80,90.51,5792.73,90.3075,5805.586
"22",1048576,40,153.11,6848.36,203.9894,5140.3456
"23",2097152,20,306.2,6848.96,367.766,5702.4079
"24",4194304,10,647.56,6477.05,647.6081,6476.6079
