"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,1.27,0,1.4397,0
"2",1,1000,1.27,0.79,1.44,0.6944
"3",2,1000,1.28,1.56,1.4404,1.3885
"4",4,1000,1.28,3.12,1.441,2.7758
"5",8,1000,1.27,6.3,1.4424,5.5465
"6",16,1000,1.28,12.55,1.445,11.0726
"7",32,1000,1.29,24.82,1.4503,22.0639
"8",64,1000,1.42,45.12,1.461,43.8065
"9",128,1000,1.47,87.26,1.4822,86.3565
"10",256,1000,1.71,149.31,1.5247,167.9051
"11",512,1000,1.78,288.39,1.6093,318.1445
"12",1024,1000,1.95,525.72,1.7777,576.0118
"13",2048,1000,2.57,797.7,2.1107,970.2898
"14",4096,1000,3.22,1271.42,2.7614,1483.2809
"15",8192,1000,4.11,1993.96,4.0069,2044.4641
"16",16384,1000,5.86,2796.91,6.2938,2603.1893
"17",32768,1000,10.09,3246.58,9.9748,3285.0944
"18",65536,640,12.98,5049.69,12.9841,5047.3903
"19",131072,320,22.22,5897.57,14.1815,9242.4821
"20",262144,160,32.78,7996.57,25.2436,10384.5591
"21",524288,80,57.98,9042.07,57.9643,9045.0196
"22",1048576,40,98.58,10637.33,107.3468,9768.1151
"23",2097152,20,183,11460.12,193.976,10811.3978
"24",4194304,10,355.19,11808.48,355.1921,11808.5509
