"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,0.42,0,0.5078,0
"2",1,1000,0.43,2.35,0.508,1.9686
"3",2,1000,0.43,4.69,0.5082,3.9356
"4",4,1000,0.43,9.37,0.5086,7.8645
"5",8,1000,0.43,18.8,0.5095,15.7027
"6",16,1000,0.42,37.74,0.5112,31.3006
"7",32,1000,0.47,68.78,0.5146,62.1865
"8",64,1000,0.46,137.79,0.5214,122.7469
"9",128,1000,0.58,220.6,0.535,239.245
"10",256,1000,0.62,411.25,0.5622,455.3586
"11",512,1000,0.82,622.34,0.6163,830.7298
"12",1024,1000,0.89,1153.25,0.7237,1414.9696
"13",2048,1000,1.06,1924.49,0.9348,2190.8534
"14",4096,1000,1.46,2802.34,1.3425,3050.9514
"15",8192,1000,2.03,4042.95,2.101,3899.0932
"16",16384,1000,3.33,4920.6,3.4214,4788.6219
"17",32768,1000,5.09,6441.91,5.5058,5951.5727
"18",65536,640,9.06,7233.09,9.0582,7234.9526
"19",131072,320,17.81,7357.85,17.3064,7573.6041
"20",262144,160,33.91,7730.83,35.1558,7456.6329
"21",524288,80,81.92,6399.66,81.9098,6400.7962
"22",1048576,40,166.55,6296.05,187.9804,5578.1124
"23",2097152,20,328.49,6384.22,360.1335,5823.262
"24",4194304,10,654.38,6409.54,654.3682,6409.7001
