"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,8.5,0,8.7481,0
"2",1,1000,8.58,0.12,8.7485,0.1143
"3",2,1000,8.56,0.23,8.749,0.2286
"4",4,1000,8.57,0.47,8.75,0.4571
"5",8,1000,8.58,0.93,8.7519,0.9141
"6",16,1000,8.55,1.87,8.7557,1.8274
"7",32,1000,8.6,3.72,8.7634,3.6515
"8",64,1000,8.59,7.45,8.7788,7.2903
"9",128,1000,8.94,14.32,8.8095,14.5298
"10",256,1000,8.93,28.68,8.8709,28.8583
"11",512,1000,8.98,57.02,8.9941,56.9262
"12",1024,1000,10.48,97.66,9.2414,110.8053
"13",2048,1000,9.49,215.78,9.7399,210.2684
"14",4096,1000,11.71,349.74,10.7523,380.9407
"15",8192,1000,12.29,666.7,12.8408,637.9652
"16",16384,1000,17.18,953.48,17.355,944.053
"17",32768,1000,27.24,1202.72,28.3262,1156.8084
"18",65536,640,62.19,1053.72,62.1846,1053.8935
"19",131072,320,87.84,1492.17,133.2891,983.3663
"20",262144,160,133.52,1963.34,194.8187,1345.5794
"21",524288,80,207.41,2527.73,207.3868,2528.0678
"22",1048576,40,359.07,2920.28,337.7959,3104.1704
"23",2097152,20,678.73,3089.83,647.0297,3241.1992
"24",4194304,10,1348.24,3110.94,1348.2484,3110.9283
