# mpirun -mca pml ob1 --mca btl self,vader  -np 2 --map-by socket ./IMB-MPI1 PingPong
"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,0.55,0,0.8495,0
"2",1,1000,0.62,1.6,0.8498,1.1768
"3",2,1000,0.62,3.22,0.8501,2.3527
"4",4,1000,0.62,6.42,0.8507,4.7018
"5",8,1000,0.62,12.83,0.852,9.3898
"6",16,1000,0.64,25.17,0.8545,18.7241
"7",32,1000,0.66,48.34,0.8595,37.229
"8",64,1000,0.92,69.94,0.8696,73.5963
"9",128,1000,1.09,117.18,0.8897,143.8699
"10",256,1000,1.15,221.71,0.9297,275.3655
"11",512,1000,1.12,456.97,1.009,507.4363
"12",1024,1000,1.36,753.7,1.165,878.9336
"13",2048,1000,1.81,1129.19,1.4665,1396.4897
"14",4096,1000,2.9,1414.13,2.0273,2020.4136
"15",8192,1000,3.1,2639.84,2.9867,2742.8182
"16",16384,1000,3.68,4453.81,4.3681,3750.8515
"17",32768,1000,4.45,7362.37,5.6239,5826.5408
"18",65536,640,6.46,10149.02,6.4589,10146.5487
"19",131072,320,10.83,12098.49,10.8871,12039.2166
"20",262144,160,19.75,13275.99,19.962,13132.1284
"21",524288,80,39.84,13160.07,39.8394,13160.0314
"22",1048576,40,92.2,11372.37,87.6956,11956.9991
"23",2097152,20,222.96,9405.93,204.9989,10230.066
"24",4194304,10,457.31,9171.75,457.3742,9170.3993
