# mpirun -mca pml ob1 --mca btl self,vader  -np 2 --map-by core ./IMB-MPI1 PingPong
"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,0.26,0,0.3612,0
"2",1,1000,0.28,3.63,0.3614,2.767
"3",2,1000,0.28,7.18,0.3616,5.5308
"4",4,1000,0.29,13.68,0.362,11.0487
"5",8,1000,0.28,28.75,0.3629,22.0459
"6",16,1000,0.29,55.21,0.3646,43.8867
"7",32,1000,0.29,110.99,0.368,86.9653
"8",64,1000,0.32,201.54,0.3747,170.787
"9",128,1000,0.37,348.74,0.3883,329.6783
"10",256,1000,0.43,591.12,0.4152,616.5777
"11",512,1000,0.6,849.56,0.4687,1092.3622
"12",1024,1000,0.69,1475.48,0.5743,1783.1106
"13",2048,1000,0.82,2489.67,0.7794,2627.6039
"14",4096,1000,1.66,2470.42,1.1659,3513.2166
"15",8192,1000,1.97,4155.31,1.8473,4434.6294
"16",16384,1000,2.51,6521.14,2.9041,5641.6546
"17",32768,1000,3.51,9334.3,4.1397,7915.6317
"18",65536,640,5.44,12038.96,5.4397,12047.659
"19",131072,320,9.23,14208.1,9.2476,14173.578
"20",262144,160,17.22,15220.76,17.5773,14913.815
"21",524288,80,38.54,13604.8,38.538,13604.4314
"22",1048576,40,98.63,10631.51,94.4275,11104.566
"23",2097152,20,254.88,8228.06,239.4131,8759.5558
"24",4194304,10,603.62,6948.56,603.6748,6947.9528
