# mpirun -mca pml ob1 --mca btl self,vader  -np 2 --map-by core ./IMB-MPI1 PingPong -off_cache -1
"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,0.25,0,0.3121,0
"2",1,1000,0.27,3.66,0.3125,3.2
"3",2,1000,0.28,7.24,0.3129,6.3924
"4",4,1000,0.28,14.1,0.3136,12.7545
"5",8,1000,0.28,28.86,0.3151,25.3886
"6",16,1000,0.29,54.87,0.3181,50.303
"7",32,1000,0.3,108.41,0.324,98.7615
"8",64,1000,0.32,198.5,0.3359,190.5388
"9",128,1000,0.38,338.79,0.3596,355.9291
"10",256,1000,0.42,605.2,0.407,628.9936
"11",512,1000,0.61,838.5,0.5014,1021.0841
"12",1024,1000,0.69,1479.41,0.689,1486.2645
"13",2048,1000,0.93,2199.53,1.0588,1934.3223
"14",4096,1000,2.15,1908.77,1.7772,2304.7232
"15",8192,1000,3.13,2618.13,3.1312,2616.2897
"16",16384,1000,5.37,3051.69,5.5471,2953.6154
"17",32768,1000,8.99,3645.44,9.4859,3454.3776
"18",65536,640,15.71,4171.45,15.7087,4171.9656
"19",131072,320,29.68,4415.99,28.5127,4596.965
"20",262144,160,57.3,4575.18,55.8177,4696.428
"21",524288,80,112.11,4676.74,112.1098,4676.557
"22",1048576,40,219.93,4767.76,220.3871,4757.8819
"23",2097152,20,431.31,4862.23,433.601,4836.5937
"24",4194304,10,855.52,4902.63,855.5109,4902.689
