# mpirun -mca pml ucx  -np 2 --map-by socket ./IMB-MPI1 PingPong
"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,0.42,0,0.6231,0
"2",1,1000,0.42,2.38,0.6237,1.6034
"3",2,1000,0.41,4.92,0.6242,3.2041
"4",4,1000,0.41,9.85,0.6252,6.3976
"5",8,1000,0.41,19.59,0.6273,12.7525
"6",16,1000,0.41,39.06,0.6315,25.3363
"7",32,1000,0.57,56.27,0.6399,50.0111
"8",64,1000,0.56,113.76,0.6566,97.4777
"9",128,1000,0.9,142.33,0.6899,185.5248
"10",256,1000,0.95,269.95,0.7565,338.3799
"11",512,1000,1.13,453.23,0.8893,575.733
"12",1024,1000,1.32,774.87,1.1529,888.1781
"13",2048,1000,2.11,969.03,1.6724,1224.5974
"14",4096,1000,3.02,1357.28,2.6804,1528.1106
"15",8192,1000,4.81,1701.93,4.5782,1789.3644
"16",16384,1000,7.44,2201.21,7.9816,2052.712
"17",32768,1000,12.84,2551.64,13.6838,2394.664
"18",65536,640,23.8,2753.38,23.7997,2753.6499
"19",131072,320,44.23,2963.17,38.832,3375.3606
"20",262144,160,13.18,19895.83,38.2022,6862.0194
"21",524288,80,23.22,22580.75,23.047,22748.6268
"22",1048576,40,52.85,19840.06,89.2685,11746.3165
"23",2097152,20,139.87,14993.9,179.4988,11683.378
"24",4194304,10,322.22,13017.04,322.2868,13014.1976
