MAP,	NProc,	MaxTime,	MinTime,	JacobiMIN,	JacobiMAX,	MLUPs
core,	1	,22.0653533570,22.0653533570,21.7195184650,21.7195184650,78.3128179296			
core,	4	,5.58509369800,5.58509291600,5.47166434000,5.48165371000,309.394988417			
core,	8	,2.95112717400,2.95112237900,2.85366979600,2.86474540100,585.538981588			
core,	12	,2.03544284400,2.03543740600,1.96590898900,1.97037888900,848.955304785			
socket, 4	,5.55808756700,5.55808642400,5.42908328300,5.45655508400,310.898304348			
socket, 8	,2.83183164500,2.83182890300,2.73913935300,2.74782211500,610.205766664			
socket, 12	,1.93566654800,1.93566041100,1.83821347400,1.87594657800,892.715742691			
node,	12	,1.93173242000,1.93172736200,1.83881176700,1.87209770200,894.533829898			
node,	24	,1.02363513000,1.02362002900,0.963492638000,0.988002854000,1688.10150156			
node,	36	,0.898575586000,0.898565750000,0.657713129000,0.856309464000,1923.04356687			
node,	48	,0.690274668000,0.690253066000,0.640473008000,0.656824256000,2503.35131812			
