"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,0.28,0,0.3235,0
"2",1,1000,0.29,3.45,0.3237,3.0893
"3",2,1000,0.29,6.84,0.3239,6.1756
"4",4,1000,0.29,13.63,0.3242,12.3393
"5",8,1000,0.29,27.51,0.3248,24.6312
"6",16,1000,0.29,55.27,0.326,49.0733
"7",32,1000,0.3,106.35,0.3285,97.3994
"8",64,1000,0.3,213.1,0.3335,191.8788
"9",128,1000,0.3,425.82,0.3435,372.5993
"10",256,1000,0.32,801.84,0.3635,704.3345
"11",512,1000,0.57,900.37,0.4031,1270.0005
"12",1024,1000,0.62,1651.23,0.4818,2125.2986
"13",2048,1000,0.73,2795.49,0.6363,3218.6285
"14",4096,1000,0.94,4369.23,0.9339,4386.0029
"15",8192,1000,1.48,5529.59,1.4841,5519.7476
"16",16384,1000,2.36,6946.42,2.4262,6752.9494
"17",32768,1000,3.55,9218.29,3.8343,8545.9441
"18",65536,640,5.86,11191,5.8589,11185.7807
"19",131072,320,8.76,14959.76,9.9335,13194.951
"20",262144,160,15.42,16998.13,17.9353,14616.0632
"21",524288,80,42.62,12301.18,42.6137,12303.2701
"22",1048576,40,83.76,12518.94,106.4507,9850.3421
"23",2097152,20,164.54,12745.72,202.4223,10360.2816
"24",4194304,10,401.44,10448.02,401.4029,10449.1134
