"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,0.22,0,0.2442,0
"2",1,1000,0.22,4.46,0.2444,4.0922
"3",2,1000,0.23,8.86,0.2445,8.1788
"4",4,1000,0.22,17.81,0.2449,16.3359
"5",8,1000,0.28,28.84,0.2455,32.5849
"6",16,1000,0.23,69.38,0.2468,64.8252
"7",32,1000,0.24,133.91,0.2494,128.2939
"8",64,1000,0.24,266.5,0.2546,251.3315
"9",128,1000,0.26,499.15,0.2651,482.9001
"10",256,1000,0.28,914.09,0.2859,895.5393
"11",512,1000,0.41,1236.06,0.3273,1564.4631
"12",1024,1000,0.44,2309.86,0.4093,2501.5579
"13",2048,1000,0.59,3472.11,0.5705,3589.6173
"14",4096,1000,0.84,4896.16,0.8811,4648.9046
"15",8192,1000,1.48,5525.78,1.4549,5630.6552
"16",16384,1000,2.4,6834.35,2.432,6736.8238
"17",32768,1000,3.58,9151.9,3.8629,8482.728
"18",65536,640,5.78,11331.18,5.7787,11341.0341
"19",131072,320,8.82,14864.54,9.548,13727.6371
"20",262144,160,15.18,17270.71,17.2584,15189.3226
"21",524288,80,41.24,12714.06,41.2331,12715.2325
"22",1048576,40,82.18,12760.04,102.2602,10253.9945
"23",2097152,20,157.49,13315.89,194.7169,10770.2593
"24",4194304,10,394.87,10621.94,394.8186,10623.3695
