"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,9.42,0,8.9443,0
"2",1,1000,9.42,0.11,8.9455,0.1118
"3",2,1000,9.34,0.21,8.9467,0.2235
"4",4,1000,9.39,0.43,8.9491,0.447
"5",8,1000,9.22,0.87,8.954,0.8935
"6",16,1000,8.06,1.98,8.9636,1.785
"7",32,1000,8.1,3.95,8.983,3.5623
"8",64,1000,8.23,7.77,9.0217,7.094
"9",128,1000,8.36,15.31,9.099,14.0675
"10",256,1000,8.67,29.52,9.2533,27.6657
"11",512,1000,10.44,49.06,9.5609,53.5512
"12",1024,1000,10.67,95.96,10.1719,100.6692
"13",2048,1000,12.86,159.29,11.3772,180.0084
"14",4096,1000,13.83,296.16,13.7207,298.5261
"15",8192,1000,16.07,509.63,18.1304,451.8389
"16",16384,1000,26.91,608.8,25.928,631.9033
"17",32768,1000,36.52,897.2,38.5774,849.4098
"18",65536,640,60.55,1082.27,60.528,1082.7381
"19",131072,320,111.85,1171.82,102.9757,1272.8434
"20",262144,160,137.72,1903.41,158.0326,1658.7969
"21",524288,80,241.77,2168.54,241.6006,2170.0605
"22",1048576,40,462.46,2267.4,480.1122,2184.0227
"23",2097152,20,963.45,2176.71,957.0456,2191.277
"24",4194304,10,1870.19,2242.71,1870.3567,2242.5155
