"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,0.42,0,0.5017,0
"2",1,1000,0.43,2.35,0.5019,1.9925
"3",2,1000,0.43,4.66,0.5021,3.9833
"4",4,1000,0.43,9.27,0.5025,7.9599
"5",8,1000,0.43,18.67,0.5034,15.893
"6",16,1000,0.43,36.92,0.5051,31.6794
"7",32,1000,0.46,68.93,0.5085,62.9363
"8",64,1000,0.47,136.99,0.5152,124.2171
"9",128,1000,0.57,225.94,0.5288,242.0732
"10",256,1000,0.6,423.28,0.5558,460.6101
"11",512,1000,0.79,644.7,0.6096,839.9001
"12",1024,1000,0.88,1162.13,0.7163,1429.5346
"13",2048,1000,1.02,2004.35,0.9261,2211.3709
"14",4096,1000,1.48,2759.74,1.3312,3076.9141
"15",8192,1000,1.98,4147.71,2.0839,3931.0032
"16",16384,1000,3.32,4939.68,3.3909,4831.7403
"17",32768,1000,5.02,6524.1,5.4459,6016.9791
"18",65536,640,8.98,7299.17,8.978,7299.6166
"19",131072,320,17.63,7433.6,17.2781,7586.0201
"20",262144,160,33.85,7744.81,35.1751,7452.539
"21",524288,80,82,6393.67,81.9904,6394.5023
"22",1048576,40,166.02,6315.77,188.4259,5564.9264
"23",2097152,20,330.29,6349.42,361.3887,5803.0363
"24",4194304,10,654.43,6409.06,654.4274,6409.1202
