"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,0.48,0,0.5654,0
"2",1,1000,0.48,2.07,0.5656,1.7681
"3",2,1000,0.49,4.12,0.5658,3.5347
"4",4,1000,0.48,8.29,0.5663,7.0638
"5",8,1000,0.48,16.63,0.5672,14.1053
"6",16,1000,0.48,33.36,0.569,28.1214
"7",32,1000,0.52,61.59,0.5726,55.8898
"8",64,1000,0.5,128.41,0.5797,110.3943
"9",128,1000,0.6,211.76,0.5941,215.4542
"10",256,1000,0.64,402.49,0.6227,411.0861
"11",512,1000,0.98,524.99,0.6798,753.1662
"12",1024,1000,1.01,1015.57,0.793,1291.357
"13",2048,1000,1.15,1779.58,1.0155,2016.7428
"14",4096,1000,1.56,2621.09,1.4454,2833.8742
"15",8192,1000,2.11,3888.67,2.2449,3649.1424
"16",16384,1000,3.58,4574.15,3.632,4510.9605
"17",32768,1000,5.38,6086.74,5.777,5672.1064
"18",65536,640,9.09,7210.4,9.088,7211.2999
"19",131072,320,15.19,8631.08,16.03,8176.6591
"20",262144,160,27.76,9442.7,30.0481,8724.1461
"21",524288,80,67.27,7794.06,67.2628,7794.6259
"22",1048576,40,131.61,7967.1,155.1542,6758.2846
"23",2097152,20,258.78,8104.14,290.6768,7214.72
"24",4194304,10,509.5,8232.18,509.5001,8232.1949
