"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,0.56,0,0.8093,0
"2",1,1000,0.56,1.78,0.8096,1.2352
"3",2,1000,0.56,3.59,0.8099,2.4694
"4",4,1000,0.56,7.17,0.8105,4.9351
"5",8,1000,0.56,14.25,0.8117,9.8556
"6",16,1000,0.6,26.46,0.8141,19.6525
"7",32,1000,0.68,46.95,0.819,39.0729
"8",64,1000,0.81,79.47,0.8287,77.2337
"9",128,1000,0.91,141.4,0.848,150.9507
"10",256,1000,1.04,247.11,0.8864,288.8093
"11",512,1000,1.27,403.88,0.9627,531.8398
"12",1024,1000,1.46,699.66,1.113,920.0762
"13",2048,1000,1.77,1158.66,1.4038,1458.8728
"14",4096,1000,2.62,1565.86,1.9473,2103.4245
"15",8192,1000,3.07,2671.89,2.8877,2836.8282
"16",16384,1000,3.61,4544.71,4.2821,3826.1282
"17",32768,1000,4.67,7023.45,5.6732,5775.8889
"18",65536,640,6.54,10013.38,6.5398,10021.1082
"19",131072,320,10.05,13048.08,10.0713,13014.4706
"20",262144,160,17.98,14578.24,18.0924,14489.1696
"21",524288,80,38.38,13660.42,38.3793,13660.7038
"22",1048576,40,99.37,10552.74,90.7864,11549.9217
"23",2097152,20,242.54,8646.66,221.6216,9462.7592
"24",4194304,10,510.78,8211.59,510.8343,8210.6941
