"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,5.25,0,5.3715,0
"2",1,1000,5.3,0.19,5.3717,0.1862
"3",2,1000,5.3,0.38,5.3719,0.3723
"4",4,1000,5.31,0.75,5.3724,0.7445
"5",8,1000,5.32,1.5,5.3733,1.4888
"6",16,1000,5.32,3.01,5.3751,2.9767
"7",32,1000,5.3,6.03,5.3787,5.9494
"8",64,1000,5.33,12.02,5.386,11.8827
"9",128,1000,5.37,23.85,5.4005,23.7017
"10",256,1000,5.4,47.44,5.4295,47.1499
"11",512,1000,5.43,94.26,5.4878,93.2985
"12",1024,1000,6.06,169.1,5.6051,182.6894
"13",2048,1000,5.87,348.89,5.8432,350.4953
"14",4096,1000,6.82,600.34,6.3323,646.8424
"15",8192,1000,7.18,1140.23,7.3648,1112.3118
"16",16384,1000,9.52,1720.55,9.6583,1696.3635
"17",32768,1000,15.15,2162.68,15.1509,2162.7712
"18",65536,640,29.59,2214.97,29.5909,2214.7353
"19",131072,320,41.82,3134.1,56.8025,2307.5058
"20",262144,160,61.28,4277.84,82.791,3166.3363
"21",524288,80,96.28,5445.65,96.2643,5446.339
"22",1048576,40,161.9,6476.58,160.7269,6523.9595
"23",2097152,20,307.86,6812.03,306.2032,6848.889
"24",4194304,10,657.04,6383.64,657.0358,6383.6765
