"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,0.21,0,0.2469,0
"2",1,1000,0.2,4.96,0.2471,4.0463
"3",2,1000,0.2,10.21,0.2473,8.0859
"4",4,1000,0.2,20.37,0.2477,16.1454
"5",8,1000,0.19,41.39,0.2486,32.1856
"6",16,1000,0.2,81.63,0.2502,63.9543
"7",32,1000,0.23,138.07,0.2534,126.2736
"8",64,1000,0.23,275.47,0.2599,246.2535
"9",128,1000,0.31,406.42,0.2728,469.1435
"10",256,1000,0.34,744.36,0.2987,857.1178
"11",512,1000,0.39,1314.47,0.3502,1462.0922
"12",1024,1000,0.52,1985.91,0.4525,2262.8746
"13",2048,1000,0.75,2722.47,0.6544,3129.451
"14",4096,1000,1.13,3626.66,1.0472,3911.2958
"15",8192,1000,1.88,4361.91,1.7902,4575.9557
"16",16384,1000,2.97,5518.92,3.1284,5237.2613
"17",32768,1000,5.11,6411.02,5.3391,6137.3759
"18",65536,640,8.75,7493.55,8.75,7489.798
"19",131072,320,15.93,8229.11,13.8725,9448.3309
"20",262144,160,13.85,18931.38,18.3826,14260.4436
"21",524288,80,25.19,20816.08,25.151,20845.5986
"22",1048576,40,55.68,18830.67,60.9055,17216.442
"23",2097152,20,141.86,14782.86,141.1173,14861.055
"24",4194304,10,329.22,12740.18,329.2643,12738.4106
