"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,0.2,0,0.1922,0
"2",1,1000,0.19,5.33,0.1925,5.1952
"3",2,1000,0.19,10.39,0.1928,10.3733
"4",4,1000,0.19,20.87,0.1934,20.6785
"5",8,1000,0.18,43.63,0.1947,41.087
"6",16,1000,0.18,88.4,0.1973,81.1152
"7",32,1000,0.22,144.48,0.2023,158.1558
"8",64,1000,0.22,290.97,0.2125,301.19
"9",128,1000,0.3,423.48,0.2328,549.8561
"10",256,1000,0.3,860.1,0.2733,936.6672
"11",512,1000,0.4,1280.25,0.354,1446.1439
"12",1024,1000,0.53,1914.68,0.5143,1991.0971
"13",2048,1000,0.78,2627.24,0.8299,2467.7777
"14",4096,1000,1.26,3239.88,1.4416,2841.3714
"15",8192,1000,2.63,3116.87,2.586,3167.8024
"16",16384,1000,4.61,3553.88,4.5878,3571.2322
"17",32768,1000,7.22,4539.17,7.7333,4237.2548
"18",65536,640,12.74,5143.01,12.7369,5145.3468
"19",131072,320,23.46,5587.79,22.9877,5701.8278
"20",262144,160,39.58,6622.91,41.3994,6332.078
"21",524288,80,77.85,6734.75,77.8368,6735.7384
"22",1048576,40,142.91,7337.21,155.7833,6730.9909
"23",2097152,20,281.92,7438.86,294.9227,7110.8519
"24",4194304,10,547.28,7663.85,547.3004,7663.623
