"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,15.55,0,17.0006,0
"2",1,1000,15.56,0.06,17.0038,0.0588
"3",2,1000,15.58,0.13,17.007,0.1176
"4",4,1000,15.57,0.26,17.0134,0.2351
"5",8,1000,15.82,0.51,17.0262,0.4699
"6",16,1000,15.61,1.02,17.0517,0.9383
"7",32,1000,15.61,2.05,17.1028,1.871
"8",64,1000,15.66,4.09,17.2049,3.7199
"9",128,1000,16.15,7.93,17.4086,7.3527
"10",256,1000,16.14,15.86,17.8139,14.3708
"11",512,1000,16.37,31.27,18.6174,27.5012
"12",1024,1000,16.83,60.84,20.1958,50.7036
"13",2048,1000,38.38,53.36,23.2342,88.1459
"14",4096,1000,38.9,105.29,28.8417,142.0168
"15",8192,1000,39.89,205.37,38.276,214.0244
"16",16384,1000,41.64,393.45,51.4893,318.2019
"17",32768,1000,48.63,673.79,63.267,517.9317
"18",65536,640,81.45,804.57,81.4464,804.6516
"19",131072,320,134.62,973.64,157.4889,832.2619
"20",262144,160,198.99,1317.36,243.3017,1077.4441
"21",524288,80,313.74,1671.08,313.6632,1671.5001
"22",1048576,40,513.69,2041.28,511.4609,2050.1586
"23",2097152,20,935.29,2242.24,936.8672,2238.4731
"24",4194304,10,1912.69,2192.88,1912.6471,2192.9315
