"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,7.72,0,8.1504,0
"2",1,1000,7.98,0.13,8.1509,0.1227
"3",2,1000,7.98,0.25,8.1514,0.2454
"4",4,1000,7.99,0.5,8.1523,0.4907
"5",8,1000,7.99,1,8.1543,0.9811
"6",16,1000,7.99,2,8.1581,1.9612
"7",32,1000,8,4,8.1658,3.9188
"8",64,1000,8.01,7.99,8.1811,7.8229
"9",128,1000,8.38,15.28,8.2119,15.5872
"10",256,1000,8.41,30.44,8.2735,30.9422
"11",512,1000,8.44,60.65,8.3971,60.9732
"12",1024,1000,9.64,106.2,8.6463,118.4327
"13",2048,1000,9.13,224.23,9.1517,223.784
"14",4096,1000,11.02,371.53,10.1912,401.9139
"15",8192,1000,11.95,685.25,12.3878,661.294
"16",16384,1000,17.1,958.19,17.2785,948.2282
"17",32768,1000,28.96,1131.56,29.1305,1124.8688
"18",65536,640,61.52,1065.27,61.5199,1065.2805
"19",131072,320,84.29,1555.09,123.757,1059.108
"20",262144,160,127.39,2057.88,180.2938,1453.9824
"21",524288,80,204.23,2567.1,204.2092,2567.4063
"22",1048576,40,342.28,3063.46,344.8735,3040.4653
"23",2097152,20,648.13,3235.71,640.8546,3272.4304
"24",4194304,10,1258.12,3333.77,1258.1656,3333.6662
