"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,0.41,0,0.6162,0
"2",1,1000,0.39,2.56,0.6167,1.6214
"3",2,1000,0.39,5.12,0.6172,3.2403
"4",4,1000,0.39,10.29,0.6182,6.4705
"5",8,1000,0.39,20.67,0.6201,12.9003
"6",16,1000,0.39,41.16,0.624,25.6395
"7",32,1000,0.56,57.31,0.6318,50.6467
"8",64,1000,0.55,116.47,0.6474,98.856
"9",128,1000,0.86,148.3,0.6786,188.6372
"10",256,1000,0.92,278.52,0.7408,345.5813
"11",512,1000,1.12,455.67,0.865,591.8734
"12",1024,1000,1.41,727.07,1.1128,920.182
"13",2048,1000,2.13,961.54,1.6052,1275.8687
"14",4096,1000,3.01,1358.56,2.5773,1589.2896
"15",8192,1000,4.32,1894.92,4.4742,1830.959
"16",16384,1000,7.83,2092.92,8.0848,2026.5245
"17",32768,1000,14.66,2234.46,14.4329,2270.3683
"18",65536,640,22.43,2922.21,22.433,2921.4067
"19",131072,320,42.22,3104.4,29.4086,4456.9301
"20",262144,160,34.03,7703.4,38.084,6883.3091
"21",524288,80,62.91,8333.34,62.7986,8348.7227
"22",1048576,40,116.81,8976.58,144.812,7240.9488
"23",2097152,20,226.3,9267.01,264.2167,7937.2435
"24",4194304,10,455.02,9217.81,455.0284,9217.6756
