
MAP,	NProc,	MaxTime,	MinTime,	JacobiMIN,	JacobiMAX,	MLUPs
core,	1	,15.2349569880,15.2349569880,15.0481740420,15.0481740420,113.423359276			
core,	4	,3.83131116500,3.83131060800,3.75791943800,3.77117314300,451.020532027			
core,	8	,1.94137178000,1.94136967500,1.88322414300,1.89225820900,890.092262493			
core,	12	,1.30535997400,1.30535762900,1.26169355400,1.26674437200,1323.77277871			
socket,4	,3.82769169800,3.82769036600,3.75776580300,3.76839751600,451.447017246			
socket,8	,1.93664307900,1.93664092800,1.88195487300,1.88891059100,892.265600584			
socket,12	,1.29384831100,1.29384444000,1.25528250300,1.25931316700,1335.55068651			
node,	12	,1.29637241800,1.29636517400,1.25476386900,1.26162405500,1332.95029731			
node,	24	,0.654584344000,0.654578123000,0.627661602000,0.633591399000,2639.84315519			
node,	36	,0.443912860000,0.443906906000,0.419415529000,0.423204281000,3892.65586944			
node,	48	,0.340402466000,0.340398004000,0.314209313000,0.324174443000,5076.34395340			
