# mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -env I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1_intel PingPong 
"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,4.75,0,5.0087,0
"2",1,1000,4.8,0.21,5.0093,0.1996
"3",2,1000,4.96,0.4,5.0099,0.3992
"4",4,1000,4.79,0.83,5.011,0.7982
"5",8,1000,4.79,1.67,5.0133,1.5957
"6",16,1000,4.78,3.35,5.0179,3.1886
"7",32,1000,4.78,6.69,5.0271,6.3656
"8",64,1000,4.79,13.36,5.0454,12.6849
"9",128,1000,4.82,26.57,5.082,25.1872
"10",256,1000,4.87,52.54,5.1551,49.6592
"11",512,1000,6.45,79.34,5.3013,96.5794
"12",1024,1000,6.58,155.52,5.5932,183.081
"13",2048,1000,6.85,299.07,6.1747,331.6762
"14",4096,1000,7.72,530.8,7.3291,558.8718
"15",8192,1000,8.07,1015.54,9.5982,853.4972
"16",16384,1000,14.62,1120.88,13.9845,1171.5863
"17",32768,1000,21.95,1492.6,22.3675,1464.9827
"18",65536,640,39.2,1671.65,39.1907,1672.2344
"19",131072,320,73.51,1782.96,66.0508,1984.4108
"20",262144,160,52.22,5020.05,81.1391,3230.7992
"21",524288,80,84.1,6233.91,83.8927,6249.5084
"22",1048576,40,143.23,7321.08,184.7419,5675.8977
"23",2097152,20,270.43,7754.85,327.3177,6407.084
"24",4194304,10,572.2,7330.19,572.2091,7330.0198
