# mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -env I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1_intel PingPong 
"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,8.71,0,8.8229,0
"2",1,1000,8.72,0.11,8.8237,0.1133
"3",2,1000,8.67,0.23,8.8246,0.2266
"4",4,1000,8.69,0.46,8.8264,0.4532
"5",8,1000,8.66,0.92,8.83,0.906
"6",16,1000,8.66,1.85,8.8371,1.8106
"7",32,1000,8.69,3.68,8.8513,3.6153
"8",64,1000,8.93,7.17,8.8797,7.2075
"9",128,1000,8.91,14.37,8.9365,14.3233
"10",256,1000,8.94,28.65,9.0501,28.2869
"11",512,1000,10.3,49.72,9.2775,55.1873
"12",1024,1000,10.48,97.71,9.7324,105.2157
"13",2048,1000,10.86,188.57,10.6435,192.4175
"14",4096,1000,12.89,317.88,12.4704,328.4586
"15",8192,1000,13.38,612.4,16.1275,507.9519
"16",16384,1000,25.12,652.17,23.3342,702.1441
"17",32768,1000,37.65,870.34,36.8703,888.737
"18",65536,640,57.59,1138.01,57.5771,1138.2297
"19",131072,320,102.72,1276.03,84.5682,1549.8965
"20",262144,160,122.91,2132.88,125.4086,2090.3196
"21",524288,80,181.63,2886.61,181.4906,2888.7895
"22",1048576,40,336.29,3118.07,304.9884,3438.0851
"23",2097152,20,673.7,3112.91,619.2407,3386.6506
"24",4194304,10,1324.36,3167.04,1324.4314,3166.8714
