# mpirun -mca pml ucx  -np 2 --map-by core ./IMB-MPI1 PingPong
"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,0.22,0,0.2731,0
"2",1,1000,0.21,4.67,0.2733,3.6586
"3",2,1000,0.24,8.3,0.2735,7.3117
"4",4,1000,0.22,18.5,0.274,14.6012
"5",8,1000,0.21,37.23,0.2748,29.114
"6",16,1000,0.22,74.09,0.2764,57.8777
"7",32,1000,0.25,129.35,0.2798,114.3795
"8",64,1000,0.25,256.59,0.2864,223.4493
"9",128,1000,0.35,362.07,0.2997,427.0934
"10",256,1000,0.38,671.87,0.3262,784.785
"11",512,1000,0.46,1110.81,0.379,1350.9533
"12",1024,1000,0.56,1835.87,0.4837,2117.0878
"13",2048,1000,0.78,2627.7,0.6895,2970.3746
"14",4096,1000,1.15,3556.54,1.0868,3769.0261
"15",8192,1000,1.9,4300.72,1.8254,4487.7891
"16",16384,1000,2.96,5540.96,3.1083,5270.9903
"17",32768,1000,4.74,6917.61,5.092,6435.2439
"18",65536,640,8.09,8103.49,8.0892,8101.628
"19",131072,320,14.66,8942.22,13.1508,9966.8738
"20",262144,160,13.96,18778.72,18.1104,14474.7744
"21",524288,80,26.02,20148.04,25.987,20175.0295
"22",1048576,40,59.28,17688.67,62.8222,16691.1578
"23",2097152,20,154.96,13533.54,148.7106,14102.2331
"24",4194304,10,341.31,12288.8,341.3709,12286.6478
