# mpirun -mca pml ob1 --mca btl tcp  -np 2 --map-by node ./IMB-MPI1 PingPong
"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","Mbytes.sec.comp.","t.usec.comp."
"1",0,1000,16.53,0,0,18.0795
"2",1,1000,16.63,0.06,0.0553,18.0826
"3",2,1000,16.47,0.12,0.1106,18.0858
"4",4,1000,16.62,0.24,0.2211,18.0922
"5",8,1000,16.61,0.48,0.4419,18.1049
"6",16,1000,16.64,0.96,0.8825,18.1303
"7",32,1000,16.64,1.92,1.7601,18.1811
"8",64,1000,16.65,3.84,3.5006,18.2827
"9",128,1000,17.3,7.4,6.9244,18.4855
"10",256,1000,17.43,14.69,13.553,18.8888
"11",512,1000,17.67,28.97,26.0048,19.6887
"12",1024,1000,18.25,56.11,48.1637,21.2608
"13",2048,1000,39.65,51.65,84.3123,24.2907
"14",4096,1000,39.73,103.08,137.0058,29.8965
"15",8192,1000,40.86,200.49,207.9743,39.3895
"16",16384,1000,43.21,379.14,310.4489,52.7752
"17",32768,1000,51.8,632.64,516.6342,63.4259
"18",65536,640,61.19,1071.06,1070.8339,61.2009
"19",131072,320,120.63,1086.58,1664.2634,78.7568
"20",262144,160,176.74,1483.21,1844.581,142.1157
"21",524288,80,277.78,1887.44,1888.0514,277.6874
"22",1048576,40,446.96,2346,2351.4945,445.919
"23",2097152,20,804.72,2606.06,2587.6645,810.442
"24",4194304,10,1673.14,2506.85,2506.9315,1673.0828
