# mpirun -mca pml ucx   -np 2 --map-by node ./IMB-MPI1 PingPong
"","X.bytes","X.repetitions","t.usec.","Mbytes.sec","t.usec.comp.","Mbytes.sec.comp."
"1",0,1000,1.37,0,1.5964,0
"2",1,1000,1.37,0.73,1.5969,0.6262
"3",2,1000,1.37,1.46,1.5974,1.252
"4",4,1000,1.37,2.93,1.5984,2.5025
"5",8,1000,1.37,5.86,1.6004,4.9987
"6",16,1000,1.37,11.68,1.6044,9.9724
"7",32,1000,1.39,22.94,1.6125,19.8455
"8",64,1000,1.69,37.77,1.6285,39.2995
"9",128,1000,1.74,73.68,1.6606,77.081
"10",256,1000,2.05,124.72,1.7245,148.4467
"11",512,1000,2.09,245.16,1.8516,276.5115
"12",1024,1000,2.34,437.66,2.1028,486.9585
"13",2048,1000,3.01,680.22,2.5929,789.8438
"14",4096,1000,3.91,1047.05,3.5239,1162.3386
"15",8192,1000,5.48,1495.25,5.1953,1576.8101
"16",16384,1000,7.25,2261.41,7.8805,2079.0614
"17",32768,1000,10.1,3245.61,11.2608,2909.928
"18",65536,640,14.45,4536.37,14.4487,4535.7868
"19",131072,320,23.5,5578.24,20.9156,6266.7085
"20",262144,160,33.22,7890.19,33.0745,7925.8726
"21",524288,80,56.02,9358.2,56.0025,9361.863
"22",1048576,40,98.83,10609.98,101.2018,10361.2361
"23",2097152,20,185.4,11311.48,187.9055,11160.6734
"24",4194304,10,354.54,11830.4,354.5431,11830.1668
